"가구원수별","가계수지항목별",2019.1/4,2019.1/4,2019.1/4,2019.2/4,2019.2/4,2019.2/4,2019.3/4,2019.3/4,2019.3/4,2019.4/4,2019.4/4,2019.4/4,2020.1/4,2020.1/4,2020.1/4,2020.2/4,2020.2/4,2020.2/4,2020.3/4,2020.3/4,2020.3/4,2020.4/4,2020.4/4,2020.4/4,2021.1/4,2021.1/4,2021.1/4,2021.2/4,2021.2/4,2021.2/4,2021.3/4,2021.3/4,2021.3/4,2021.4/4,2021.4/4,2021.4/4,2022.1/4,2022.1/4,2022.1/4,2022.2/4,2022.2/4,2022.2/4,2022.3/4,2022.3/4,2022.3/4,2022.4/4,2022.4/4,2022.4/4
"2인","비경상소득",54738,23872,79477,79798,66956,92105,53089,52244,53898,84077,65479,102142,82408,88529,77334,94961,93415,96336,51910,68545,36560,94180,108450,80114,98102,124328,76634,58708,58667,58746,69474,44833,92666,139360,176202,105285,84535,88244,81170,86337,68106,104511,69086,50996,87538,136861,111935,162610
"2인","가계지출",2809925,3301605,2415862,2672812,3028425,2332036,2823905,3214300,2449672,2803739,3204059,2414865,2668574,3239997,2194806,2680606,3111047,2297937,2744627,3153707,2367171,2796659,3245539,2354212,2795381,3315010,2370035,2792981,3205859,2407855,3013736,3416136,2635005,2945048,3328947,2589980,2986133,3572346,2454409,2991244,3389443,2594294,3164992,3537812,2784687,3093796,3404238,2773105
"2인","소비지출",2058559,2324135,1845709,1992889,2175521,1817877,2058554,2250592,1874466,2094331,2330046,1865356,1933080,2265369,1657578,2073782,2316040,1858412,2052013,2297550,1825459,2108016,2386640,1833386,2057621,2335175,1830428,2103083,2291190,1927620,2179231,2393211,1977837,2230998,2410461,2065014,2185563,2510104,1891188,2251172,2461056,2041946,2273548,2470996,2072136,2324517,2439822,2205404
"2인","01.식료품 · 비주류음료",322096,318366,325086,294769,285028,304103,353495,338169,368187,354220,342202,365895,347286,358015,338390,343427,335625,350363,418738,409005,427718,401259,378915,423283,379959,374088,384764,371014,372072,370027,443970,438392,449220,419128,396569,439993,391752,394764,389019,367199,353590,380765,424821,413040,436838,422534,400870,444913
"2인","02.주류 · 담배",35552,43212,29413,35068,41466,28937,35208,42651,28073,31673,36307,27172,31223,33799,29088,37667,43530,32455,38312,46477,30778,33501,39302,27783,33596,38908,29247,35994,40610,31689,37303,40165,34610,33062,37251,29189,33610,39304,28445,34625,40003,29264,37270,41704,32747,36587,38846,34252
"2인","03.의류 · 신발",102943,131883,79749,114815,140967,89754,86300,102645,70631,130623,156194,105784,70959,91561,53878,104602,126975,84713,77080,94952,60589,110361,133210,87839,77141,101894,56880,103328,123423,84583,86406,100474,73166,128009,159962,98456,86605,113105,62568,119198,137877,100578,98733,120096,76941,131397,162680,99081
"2인","04.주거 · 수도 · 광열",317974,340328,300059,256828,264902,249092,240839,242400,239342,242474,252408,232824,290797,312842,272520,265278,277982,253984,241229,263157,220996,258180,270638,245900,317464,342909,296635,273527,286132,261770,260811,292549,230940,261929,260013,263701,355254,411394,304332,283721,308615,258905,239345,271557,206486,274962,283567,266073
"2인","05.가정용품 · 가사서비스",116322,131190,104406,108868,105681,111922,101968,101734,102191,100755,109322,92433,87760,114205,65834,137272,151798,124357,112368,108808,115653,128845,145448,112480,101260,122072,84224,100155,119638,81982,128084,148752,108632,121643,122142,121181,94000,99302,89191,107754,112962,102563,118071,107271,129089,107452,108147,106733
"2인","06.보건",239945,214381,260433,237188,237075,237297,229533,191883,265624,255065,239363,270318,245657,247510,244120,250809,225335,273455,248407,253249,243939,265233,251102,279161,244036,223372,260951,256696,249702,263220,260745,266245,255568,280592,261978,297809,259720,232243,284644,264993,238551,291351,259318,234833,284294,271970,257789,286619
"2인","07.교통",198305,244404,161358,231170,262547,201102,249366,317210,184331,258950,321729,197967,200008,271113,141054,263909,355512,182472,243282,291250,199023,267255,378325,157778,259983,321042,210002,269883,297509,244113,231680,252628,211964,275851,287756,264840,242854,296570,194132,295361,367053,223893,240404,282538,197425,261331,253824,269085
"2인","08.통신",94257,114357,78147,91860,104863,79399,103052,121441,85425,102211,123545,81487,91937,105358,80809,95088,102793,88238,98496,118664,79887,94123,111418,77077,92295,108450,79070,96037,104567,88081,105580,119896,92105,101885,122593,82733,95531,115730,77210,102636,116998,88319,110370,121955,98553,108105,125342,90299
"2인","09.오락 · 문화",140417,149183,133392,139548,150476,129076,139256,153782,125332,135915,157331,115111,114251,139785,93082,106768,129584,86484,92680,109684,76990,98813,131262,66829,94949,124491,70766,120873,140699,102379,102027,117748,87232,104473,126092,84477,117750,164773,75098,146527,181995,111170,141546,161246,121450,157924,149989,166121
"2인","10.교육",69840,106174,40720,29243,45687,13486,68713,100168,38560,27313,38212,16726,47668,68069,30754,17616,18112,17175,57410,75731,40505,30024,47631,12669,53801,77638,34290,29680,36289,23516,62377,73243,52150,29663,39293,20757,65685,90593,43092,25387,29107,21679,72066,93705,49992,29550,41791,16905
"2인","11.음식 · 숙박",250481,328802,187711,268165,337549,201676,268479,333910,205758,267410,334389,202347,223249,299730,159838,251948,328230,184131,255115,328336,187554,238311,302800,174747,215201,288141,155495,267349,333330,205802,278173,333483,226116,281275,358444,209902,254753,328958,187446,310861,372873,249043,335233,410868,258079,326137,395710,254266
"2인","12.기타상품 · 서비스",170425,201856,145235,185366,199281,172033,182345,204599,161013,187720,219043,157293,182284,223382,148210,199399,220562,180584,168898,198237,141828,182112,196591,167841,187938,212171,168103,178547,187219,170458,182075,209637,156134,193487,238368,151976,188047,223367,156010,192910,201433,184414,196371,212182,180242,196571,221268,171059
"2인","비소비지출",751366,977470,570153,679923,852904,514159,765351,963708,575206,709408,874013,549509,735494,974628,537228,606823,795006,439526,692613,856157,541712,688643,858899,520827,737760,979835,539608,689898,914669,480235,834505,1022925,657168,714049,918486,524966,800570,1062241,563221,740072,928387,552348,891444,1066817,712551,769280,964415,567700
"2인","처분가능소득",2701702,3516888,2048362,2869645,3501719,2263941,2967690,3525845,2432642,3106077,3464349,2758049,2802192,3566400,2168584,3131368,3717415,2610364,3018421,3597799,2483834,3204872,3683585,2733020,3010839,3840013,2332112,3123085,3789620,2501353,3317871,3870365,2797875,3510684,3986123,3070950,3315550,4060969,2639416,3603412,3996333,3211723,3413814,3975469,2840882,3663938,4071339,3243084
"2인","흑자액",643143,1192752,202653,876756,1326199,446064,909136,1275253,558176,1011746,1134303,892693,869112,1301030,511006,1057586,1401375,751952,966408,1300249,658376,1096856,1296945,899634,953218,1504838,501684,1020002,1498430,573733,1138640,1477154,820038,1279685,1575663,1005936,1129987,1550865,748229,1352240,1535276,1169777,1140266,1504473,768746,1339421,1631516,1037680
"2인","흑자율 (%)",23.8,33.9,9.9,30.6,37.9,19.7,30.6,36.2,22.9,32.6,32.7,32.4,31.0,36.5,23.6,33.8,37.7,28.8,32.0,36.1,26.5,34.2,35.2,32.9,31.7,39.2,21.5,32.7,39.5,22.9,34.3,38.2,29.3,36.5,39.5,32.8,34.1,38.2,28.3,37.5,38.4,36.4,33.4,37.8,27.1,36.6,40.1,32.0
"2인","평균소비성향 (%)",76.2,66.1,90.1,69.4,62.1,80.3,69.4,63.8,77.1,67.4,67.3,67.6,69.0,63.5,76.4,66.2,62.3,71.2,68.0,63.9,73.5,65.8,64.8,67.1,68.3,60.8,78.5,67.3,60.5,77.1,65.7,61.8,70.7,63.5,60.5,67.2,65.9,61.8,71.7,62.5,61.6,63.6,66.6,62.2,72.9,63.4,59.9,68.0
"3인","가구원수 (명)",3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
"3인","가구주연령 (세)",50.75,48.14,55.55,51.52,49.70,55.25,50.89,48.07,56.16,50.53,47.45,56.55,50.89,47.34,56.61,51.10,47.88,56.29,51.22,48.44,55.99,51.41,48.49,56.43,51.46,48.69,56.04,51.87,49.58,56.05,51.50,49.13,55.63,51.25,48.65,55.58,51.45,48.96,55.52,51.67,49.35,55.59,51.28,48.64,55.98,51.12,48.51,56.41
"3인","가구분포 (%)",21.19,23.98,17.45,21.11,23.77,17.17,21.12,23.36,17.92,21.21,23.63,17.66,20.99,22.61,18.82,21.04,22.66,18.86,20.99,22.70,18.58,21.16,22.75,18.87,21.04,23.06,18.38,20.99,22.81,18.32,21.03,22.46,18.92,21.06,22.31,19.26,20.07,21.28,18.37,20.07,21.13,18.51,20.07,21.19,18.36,20.07,21.82,17.27
"3인","소득",5339528,5988534,4143142,5334850,5822415,4333522,5445891,5854020,4684545,5566053,5759290,5187670,5874621,6546918,4789957,5507653,6021168,4679270,5658865,6120041,4866681,5641010,6084594,4876363,5682447,6244374,4755408,5591510,6013725,4818234,6141727,6758785,5063706,6071852,6530596,5306397,6355548,6861855,5525507,6328851,6502974,6033894,6365272,6772254,5642350,6253738,6545940,5661887
"3인","경상소득",5204754,5829352,4053361,5258664,5768673,4211241,5348730,5739806,4619197,5506577,5682320,5162451,5606643,6299494,4488819,5411375,5914478,4599788,5563973,6034918,4755012,5530576,5973034,4767872,5620393,6159652,4730751,5437828,5828932,4721531,6050607,6628670,5040710,5935090,6376175,5199099,6215515,6792548,5269527,6173165,6345659,5880969,6205009,6668315,5382039,6176793,6463785,5595496
"3인","근로소득",3580312,4957021,1042468,3673129,4940883,1069497,3688215,5001743,1237892,3749869,4991579,1318444,3815759,5376320,1297994,3356362,4765925,1082514,3685946,5190640,1101267,3718573,5193198,1176629,3742835,5291428,1188043,3639501,4983930,1177216,3980394,5578631,1188219,3949449,5573331,1239855,4069323,5774076,1274553,3855508,5414315,1214964,4160780,5739965,1355671,4238610,5638892,1402364
"3인","사업소득",899044,240429,2113143,984027,299119,2390646,1033754,250282,2495283,1248203,330229,3045714,1040521,302007,2232018,1024167,243574,2283387,1138972,264193,2641619,1198409,329051,2697000,1043104,232577,2380270,1087196,284122,2558004,1131597,267659,2640925,1312961,287230,3024484,1169862,281658,2625985,1256302,306930,2864494,1314041,321509,3077077,1333445,357227,3310755
"3인","재산소득",43138,41730,45733,49611,59903,28474,42312,26248,72278,28370,19187,46352,34245,20074,57108,34070,25659,47639,29899,25076,38185,28423,20873,41436,40940,24973,67281,43044,35589,56697,27795,18866,43395,27869,17869,44555,43394,30855,63951,31625,23635,45161,25487,9509,53867,38069,15320,84146
"3인","이전소득",682260,590171,852017,551897,468768,722623,584449,461533,813743,480134,341325,751941,716119,601093,901698,996775,879321,1186248,709156,555009,973941,585172,429913,852807,793515,610674,1095157,668086,525290,929614,910821,763514,1168171,644811,497745,890206,932935,705960,1305037,1029730,600780,1756351,704702,597332,895424,566670,452345,798231
"3인","비경상소득",134774,159182,89780,76186,53742,122281,97161,114214,65348,59476,76970,25219,267978,247424,301138,96278,106690,79482,94891,85123,111670,110433,111560,108491,62054,84722,24657,153683,184794,96703,91121,130115,22996,136762,154421,107298,140033,69308,255980,155685,157315,152925,160263,103939,260311,76945,82155,66392
"3인","가계지출",4206441,4459555,3739848,3896154,4154059,3366487,4167437,4381345,3768401,4102780,4356444,3606074,4206839,4542474,3665335,3942647,4203264,3522232,4028076,4306347,3550077,4084350,4483503,3396292,4201496,4571866,3590478,4190745,4503373,3618176,4387606,4814386,3642008,4279076,4633517,3687659,4344960,4713078,3741467,4481275,4838887,3875498,4730139,4893588,4439805,4436793,4659073,3986569
"3인","소비지출",3083417,3178447,2908239,2833351,2944890,2604278,3002930,3103304,2815687,3025057,3145684,2788853,3060810,3181197,2866581,2890831,3020879,2681042,2947642,3061804,2751539,3037527,3248071,2674593,3059112,3203391,2821089,3112902,3272338,2820898,3161092,3365581,2803843,3160277,3292232,2940098,3099743,3239074,2871324,3325869,3477450,3069096,3425123,3448688,3383265,3229201,3295110,3095704
"3인","01.식료품 · 비주류음료",396277,401679,386319,379506,389805,358354,425003,423295,428188,416853,404948,440165,451026,464268,429662,451692,460756,437072,489981,488939,491771,485453,483462,488887,485601,489166,479718,463835,466472,459006,527894,525852,531461,483030,466993,509790,478014,481538,472237,449730,451521,446696,495616,483616,516930,482457,468161,511412
"3인","02.주류 · 담배",41269,42971,38134,39543,40428,37727,41679,39594,45568,38906,39408,37923,39013,40412,36757,44719,46173,42373,46081,47838,43063,43677,47493,37099,42449,45720,37054,43693,45201,40932,45927,46657,44652,43473,45292,40436,40529,40611,40396,40079,40854,38765,44924,48200,39106,44026,47307,37380
"3인","03.의류 · 신발",172369,188714,142237,177852,196849,138837,144646,155073,125195,208175,222001,181104,130874,144426,109010,174652,195714,140676,120449,137690,90835,188555,212527,147230,145409,152919,133019,160194,167062,147615,136819,149319,114981,215569,227447,195749,143897,153473,128198,186465,195313,171477,158859,178744,123536,210110,227895,174086
"3인","04.주거 · 수도 · 광열",332871,302602,388669,265123,253221,289566,269105,242778,318216,285180,289693,276343,346428,337333,361102,298648,295008,304519,287699,287826,287481,294987,301505,283750,382999,390184,371145,401583,425724,357368,284460,264179,319893,286531,292169,277124,356707,358548,353689,319824,307785,340219,309876,276951,368360,306211,305414,307825
"3인","05.가정용품 · 가사서비스",145524,156580,125144,142750,132698,163394,146672,158245,125083,151804,156253,143093,137082,150143,116010,175526,191493,149769,163400,162864,164319,163922,188222,122034,143925,161376,115135,186391,206215,150083,184319,189611,175072,156425,177184,121786,131987,144190,111982,149960,154640,142033,193275,193489,192894,141994,143411,139125
"3인","06.보건",244122,240632,250556,228241,232348,219806,216096,209321,228735,243416,241775,246630,307066,312700,297976,240136,243598,234551,244398,226864,274515,274167,271219,279250,244717,249462,236890,273126,286308,248984,258982,266346,246116,267798,254543,289915,239254,234785,246579,308359,303907,315901,252236,247020,261500,254865,252016,260635
"3인","07.교통",428949,420615,444311,341422,378509,265257,396877,426349,341899,426526,460053,360876,381247,364552,408183,367266,399953,314537,324656,356896,269276,459623,511970,369388,378975,402551,340081,389193,409204,352543,387887,464127,254693,411749,450659,346825,398500,443595,324571,487970,604059,291320,459282,421280,526783,434438,445230,412579
"3인","08.통신",147478,148420,145740,158313,156977,161055,153155,151083,157021,170733,168930,174264,157327,161737,150211,148596,147472,150410,168954,172144,163475,162964,167057,155910,150942,148852,154390,153230,157971,144547,166222,165625,167265,162804,165541,158237,164511,163791,165691,161945,161272,163085,166816,171758,158037,181700,178271,188646
"3인","09.오락 · 문화",223260,248550,176639,223935,242783,185228,233499,240050,221277,213474,233849,173577,192913,200190,181172,181925,190183,168605,175987,186873,157287,165515,180992,138836,182251,195296,160729,174302,175854,171460,177132,186739,160348,169427,186853,140351,172328,181154,157859,214982,218357,209264,223433,234634,203536,187663,194603,173607
"3인","10.교육",271588,281613,253106,177375,187054,157495,277998,317010,205223,150643,170779,111216,251648,295492,180912,132367,140809,118749,257318,289237,202490,134440,153486,101609,257219,272730,231631,164300,183922,128362,281956,339272,181824,180587,210190,131191,287259,306632,255498,208623,220860,187894,299854,326496,252529,204512,225995,161000
"3인","11.음식 · 숙박",410853,455110,329268,427678,463558,353989,443025,477028,379596,444906,481039,374154,379455,430166,297641,397131,429267,345291,408088,443988,346421,389451,432677,314938,382602,418584,323243,424067,457367,363078,446985,493643,365471,467107,507972,398922,423465,458207,366510,511475,541730,460224,550576,585453,488624,516158,536256,475449
"3인","12.기타상품 · 서비스",268860,290961,228117,271614,270661,273570,255176,263479,239685,274440,276958,269508,286730,279778,297944,278171,280452,274491,260631,260646,260606,274773,297462,235663,262023,276552,238054,278989,291039,256919,262508,274209,242066,315777,307390,329771,263293,272551,248115,286457,277153,302218,270379,281047,251430,265068,270551,253962
"3인","비소비지출",1123024,1281108,831610,1062804,1209168,762209,1164507,1278041,952714,1077723,1210760,817221,1146029,1361278,798754,1051817,1182385,841190,1080434,1244542,798538,1046822,1235432,721699,1142384,1368475,769390,1077844,1231035,797278,1226514,1448805,838165,1118799,1341285,747561,1245216,1474004,870142,1155407,1361437,806402,1305016,1444900,1056540,1207591,1363963,890865
"3인","처분가능소득",4216504,4707426,3311532,4272047,4613246,3571313,4281384,4575979,3731830,4488330,4548531,4370449,4728592,5185640,3991203,4455836,4838784,3838081,4578430,4875499,4068143,4594188,4849162,4154664,4540063,4875899,3986018,4513667,4782691,4020956,4915213,5309980,4225541,4953053,5189311,4558836,5110331,5387852,4655364,5173444,5141537,5227492,5060256,5327354,4585809,5046146,5181977,4771023
"3인","흑자액",1133087,1528979,403293,1438696,1668356,967035,1278454,1472675,916143,1463273,1402846,1581596,1667782,2004444,1124622,1565005,1817905,1157039,1630789,1813694,1316604,1556660,1601091,1480071,1480951,1672508,1164929,1400765,1510352,1200058,1754121,1944399,1421699,1792776,1897079,1618739,2010588,2148778,1784040,1847575,1664087,2158396,1635132,1878666,1202544,1816945,1886867,1675319
"3인","흑자율 (%)",26.9,32.5,12.2,33.7,36.2,27.1,29.9,32.2,24.5,32.6,30.8,36.2,35.3,38.7,28.2,35.1,37.6,30.1,35.6,37.2,32.4,33.9,33.0,35.6,32.6,34.3,29.2,31.0,31.6,29.8,35.7,36.6,33.6,36.2,36.6,35.5,39.3,39.9,38.3,35.7,32.4,41.3,32.3,35.3,26.2,36.0,36.4,35.1
"3인","평균소비성향 (%)",73.1,67.5,87.8,66.3,63.8,72.9,70.1,67.8,75.5,67.4,69.2,63.8,64.7,61.3,71.8,64.9,62.4,69.9,64.4,62.8,67.6,66.1,67.0,64.4,67.4,65.7,70.8,69.0,68.4,70.2,64.3,63.4,66.4,63.8,63.4,64.5,60.7,60.1,61.7,64.3,67.6,58.7,67.7,64.7,73.8,64.0,63.6,64.9
"4인이상","가구원수 (명)",4.23,4.22,4.26,4.21,4.21,4.22,4.21,4.22,4.21,4.22,4.21,4.24,4.25,4.23,4.29,4.26,4.24,4.31,4.25,4.24,4.27,4.22,4.20,4.25,4.23,4.21,4.29,4.24,4.21,4.32,4.23,4.23,4.26,4.21,4.19,4.23,4.22,4.19,4.27,4.23,4.24,4.22,4.21,4.22,4.20,4.21,4.20,4.26
"4인이상","가구주연령 (세)",46.65,45.82,48.85,46.34,45.22,49.19,46.19,45.02,48.94,46.21,44.92,49.29,47.02,45.77,50.07,47.26,45.99,50.02,46.85,45.50,49.94,47.16,45.57,50.64,47.36,45.98,50.38,46.79,45.63,49.68,47.14,45.70,50.66,47.35,45.85,51.01,46.82,45.28,50.68,46.86,45.47,50.28,46.87,45.82,49.61,47.01,46.24,49.14
"4인이상","가구분포 (%)",22.55,28.52,14.55,22.45,26.99,15.72,22.61,26.94,16.42,22.48,26.66,16.37,21.64,26.72,14.80,21.63,25.87,15.94,21.70,25.83,15.89,21.55,25.15,16.40,20.69,25.05,14.97,20.60,24.68,14.62,20.64,24.64,14.77,20.67,24.83,14.69,20.16,24.57,13.91,20.16,24.03,14.41,20.16,24.09,14.11,20.16,24.11,13.82
"4인이상","소득",6663625,7012497,5746647,6182277,6416244,5586573,6509411,6800900,5824776,6276695,6438659,5890735,6801530,7262557,5683331,6650500,6942548,6014146,6741251,7001200,6147165,6557503,6581850,6504146,6716100,7191950,5668890,6342089,6717858,5409180,7129858,7494090,6235881,6833474,7085488,6219741,7592569,8076868,6381574,7207578,7245811,7113024,7339142,7627018,6582698,7312218,7656831,6348448
"4인이상","경상소득",6567501,6939600,5589476,6136838,6374224,5532431,6459492,6744324,5790493,6189343,6335248,5841652,6677338,7170398,5481446,6569470,6873839,5906269,6641717,6909944,6028712,6451337,6519896,6301084,6570292,7096714,5411790,6248610,6634137,5291477,7068501,7430267,6180577,6760266,7005081,6164065,7477016,7940172,6318893,7106342,7188199,6903902,7252415,7539440,6498206,7201314,7565622,6182462
"4인이상","근로소득",4777300,6131648,1217527,4443678,5711883,1214695,4706363,6134593,1351810,4447945,5781619,1269807,4874698,6301527,1413992,4429196,5820874,1396815,4709706,6152593,1412144,4479005,5874607,1420388,4689775,6288687,1171031,4606614,5920967,1343514,5011479,6453818,1471384,4869079,6240106,1530193,5471837,7035761,1561237,4912490,6271962,1550363,5346543,6790135,1553260,5422534,6828203,1491336
"4인이상","사업소득",1241396,268752,3797898,1333401,351950,3832279,1334540,272442,3829141,1394632,270793,4072733,1180004,286450,3347276,1229109,253605,3354672,1344723,268108,3805211,1543500,282948,4306141,1235564,234906,3437721,1171310,310421,3308608,1304813,312266,3740930,1402956,320782,4038392,1314028,307415,3831068,1344437,352070,3798674,1393834,340697,4161130,1350790,377874,4071718
"4인이상","재산소득",30688,28557,36288,16374,5415,44278,10875,5805,22783,8172,6510,12132,49487,58432,27790,14673,13523,17180,16838,17341,15688,17588,12791,28103,20482,19346,22983,10521,7579,17827,14369,8840,27939,22553,18265,32995,11903,11517,12868,21359,19906,24950,11521,11826,10719,14625,16926,8188
"4인이상","이전소득",518117,510643,537763,343385,304976,441179,407714,331484,586758,338594,276326,486980,573150,523988,692388,896492,785837,1137602,570450,471902,795669,411244,349550,546452,624472,553774,780056,460166,395170,621528,737841,655343,940325,465679,425928,562485,679248,585479,913720,828056,544261,1529913,500518,396783,773097,413366,342619,611220
"4인이상","비경상소득",96123,72897,157171,45439,42020,54142,49919,56576,34283,87352,103411,49083,124192,92160,201886,81030,68709,107877,99534,91256,118453,106166,61954,203062,145807,95236,257100,93478,83721,117703,61357,63823,55304,73208,80407,55676,115553,136697,62682,101236,57612,209122,86727,87578,84492,110905,91209,165986
"4인이상","가계지출",5408809,5609404,4881563,4861542,5110459,4227774,5232978,5565834,4451182,4861832,5068458,4369443,5142175,5310487,4733943,5044391,5273571,4545022,5216777,5413294,4767657,4880416,5034419,4542901,5197327,5495022,4542184,5236338,5606917,4316316,5478737,5868662,4521700,5197991,5462932,4552774,5662522,5970377,4892731,5486578,5774600,4774267,5884203,6157583,5165853,5843584,6139083,5017167
"4인이상","소비지출",4029827,4094358,3860213,3638488,3744950,3367426,3884665,4073951,3440079,3669014,3757138,3459016,3778036,3769117,3799668,3789655,3882449,3587465,3866931,3905790,3778122,3643747,3657186,3614293,3880367,3985006,3650088,3944769,4126574,3493409,4028088,4221808,3552622,3901162,4015323,3623145,4122031,4200572,3925640,4104764,4186756,3901988,4332725,4412598,4122844,4404110,4509200,4110207
"4인이상","01.식료품 · 비주류음료",494922,497341,488562,466085,471297,452817,497368,494658,503731,482398,479175,490080,548324,559976,520064,576254,587005,552828,598240,607867,576237,571454,571773,570757,576076,575275,577840,562058,579866,517845,633508,654498,581992,595648,595660,595617,601398,603574,595956,563860,569434,550075,611542,626581,572023,589445,594244,576023
"4인이상","02.주류 · 담배",36328,34761,40448,36640,35817,38735,41257,40463,43123,37498,35627,41957,40376,39783,41815,42441,40456,46768,46814,46056,48549,42980,39884,49767,44247,45236,42071,50579,51370,48618,55134,54095,57683,44592,44353,45176,40842,40389,41976,46377,46467,46154,50994,50762,51606,47082,46389,49022
"4인이상","03.의류 · 신발",217585,221157,208197,239958,246545,223189,178545,185311,162654,250364,254280,241031,157488,159278,153148,226472,238293,200715,153412,158734,141247,235987,245551,215025,176496,183039,162094,221440,233646,191137,171705,181180,148448,258321,261951,249481,192395,197520,179579,245076,251066,230261,193164,197961,180560,271011,279625,246920
"4인이상","04.주거 · 수도 · 광열",367449,372875,353186,296184,306100,270939,268044,276089,249150,320671,337506,280553,369026,355111,402777,321199,319981,323851,300979,307554,285953,340391,338384,344790,416774,416629,417093,329567,331641,324418,301728,312567,275125,318824,322655,309495,402523,388979,436390,335116,319317,374189,305135,294960,331872,342627,333346,368582
"4인이상","05.가정용품 · 가사서비스",182216,201702,130999,188889,203128,152635,155847,177504,104981,160151,166080,146022,172458,172020,173521,226275,232155,213461,219274,231297,191799,187481,181087,201496,210574,221058,187500,233047,258346,170239,221316,235454,186616,198443,208992,172751,173443,183266,148880,182434,202215,133514,180543,182075,176517,173237,179992,154347
"4인이상","06.보건",262489,268789,245930,236287,235578,238092,243663,247146,235483,251872,263128,225048,283403,286214,276584,273323,269940,280694,274205,263222,299304,277798,294736,240677,290891,312665,242974,326768,351812,264594,275266,281547,259849,302147,294257,321362,340371,349594,317309,317364,317734,316448,318373,326029,298256,309496,306824,316968
"4인이상","07.교통",369272,367500,373932,341565,360200,294119,496938,571704,321331,455578,458117,449528,494647,441348,623922,520331,489903,586633,458252,427857,527716,431774,400213,500944,403706,417691,372928,449557,451602,444481,435816,480313,326605,402591,448672,290369,394265,370448,453820,437418,439287,432797,450060,477833,377084,640556,664910,572447
